
and for error debugging this is the data i got from the supabase so it would be usefull 
| grantor  | grantee       | table_catalog | table_schema | table_name          | privilege_type | is_grantable | with_hierarchy |
| postgres | service_role  | postgres      | public       | subjects            | SELECT         | NO           | YES            |
| postgres | service_role  | postgres      | public       | subjects            | UPDATE         | NO           | NO             |
| postgres | service_role  | postgres      | public       | subjects            | DELETE         | NO           | NO             |
| postgres | service_role  | postgres      | public       | subjects            | TRUNCATE       | NO           | NO             |
| postgres | service_role  | postgres      | public       | subjects            | REFERENCES     | NO           | NO             |
| postgres | service_role  | postgres      | public       | subjects            | TRIGGER        | NO           | NO             |
| postgres | postgres      | postgres      | public       | lab_batches         | INSERT         | YES          | NO             |
| postgres | postgres      | postgres      | public       | lab_batches         | SELECT         | YES          | YES            |
| postgres | postgres      | postgres      | public       | lab_batches         | UPDATE         | YES          | NO             |
| postgres | postgres      | postgres      | public       | lab_batches         | DELETE         | YES          | NO             |
| postgres | postgres      | postgres      | public       | lab_batches         | TRUNCATE       | YES          | NO             |
| postgres | postgres      | postgres      | public       | lab_batches         | REFERENCES     | YES          | NO             |
| postgres | postgres      | postgres      | public       | lab_batches         | TRIGGER        | YES          | NO             |
| postgres | anon          | postgres      | public       | lab_batches         | INSERT         | NO           | NO             |
| postgres | anon          | postgres      | public       | lab_batches         | SELECT         | NO           | YES            |
| postgres | anon          | postgres      | public       | lab_batches         | UPDATE         | NO           | NO             |
| postgres | anon          | postgres      | public       | lab_batches         | DELETE         | NO           | NO             |
| postgres | anon          | postgres      | public       | lab_batches         | TRUNCATE       | NO           | NO             |
| postgres | anon          | postgres      | public       | lab_batches         | REFERENCES     | NO           | NO             |
| postgres | anon          | postgres      | public       | lab_batches         | TRIGGER        | NO           | NO             |
| postgres | authenticated | postgres      | public       | lab_batches         | INSERT         | NO           | NO             |
| postgres | authenticated | postgres      | public       | lab_batches         | SELECT         | NO           | YES            |
| postgres | authenticated | postgres      | public       | lab_batches         | UPDATE         | NO           | NO             |
| postgres | authenticated | postgres      | public       | lab_batches         | DELETE         | NO           | NO             |
| postgres | authenticated | postgres      | public       | lab_batches         | TRUNCATE       | NO           | NO             |
| postgres | authenticated | postgres      | public       | lab_batches         | REFERENCES     | NO           | NO             |
| postgres | authenticated | postgres      | public       | lab_batches         | TRIGGER        | NO           | NO             |
| postgres | service_role  | postgres      | public       | lab_batches         | INSERT         | NO           | NO             |
| postgres | service_role  | postgres      | public       | lab_batches         | SELECT         | NO           | YES            |
| postgres | service_role  | postgres      | public       | lab_batches         | UPDATE         | NO           | NO             |
| postgres | service_role  | postgres      | public       | lab_batches         | DELETE         | NO           | NO             |
| postgres | service_role  | postgres      | public       | lab_batches         | TRUNCATE       | NO           | NO             |
| postgres | service_role  | postgres      | public       | lab_batches         | REFERENCES     | NO           | NO             |
| postgres | service_role  | postgres      | public       | lab_batches         | TRIGGER        | NO           | NO             |
| postgres | postgres      | postgres      | public       | attendance_records  | INSERT         | YES          | NO             |
| postgres | postgres      | postgres      | public       | attendance_records  | SELECT         | YES          | YES            |
| postgres | postgres      | postgres      | public       | attendance_records  | UPDATE         | YES          | NO             |
| postgres | postgres      | postgres      | public       | attendance_records  | DELETE         | YES          | NO             |
| postgres | postgres      | postgres      | public       | attendance_records  | TRUNCATE       | YES          | NO             |
| postgres | postgres      | postgres      | public       | attendance_records  | REFERENCES     | YES          | NO             |
| postgres | postgres      | postgres      | public       | attendance_records  | TRIGGER        | YES          | NO             |
| postgres | anon          | postgres      | public       | attendance_records  | INSERT         | NO           | NO             |
| postgres | anon          | postgres      | public       | attendance_records  | SELECT         | NO           | YES            |
| postgres | anon          | postgres      | public       | attendance_records  | UPDATE         | NO           | NO             |
| postgres | anon          | postgres      | public       | attendance_records  | DELETE         | NO           | NO             |
| postgres | anon          | postgres      | public       | attendance_records  | TRUNCATE       | NO           | NO             |
| postgres | anon          | postgres      | public       | attendance_records  | REFERENCES     | NO           | NO             |
| postgres | anon          | postgres      | public       | attendance_records  | TRIGGER        | NO           | NO             |
| postgres | authenticated | postgres      | public       | attendance_records  | INSERT         | NO           | NO             |
| postgres | authenticated | postgres      | public       | attendance_records  | SELECT         | NO           | YES            |
| postgres | authenticated | postgres      | public       | attendance_records  | UPDATE         | NO           | NO             |
| postgres | authenticated | postgres      | public       | attendance_records  | DELETE         | NO           | NO             |
| postgres | authenticated | postgres      | public       | attendance_records  | TRUNCATE       | NO           | NO             |
| postgres | authenticated | postgres      | public       | attendance_records  | REFERENCES     | NO           | NO             |
| postgres | authenticated | postgres      | public       | attendance_records  | TRIGGER        | NO           | NO             |
| postgres | service_role  | postgres      | public       | attendance_records  | INSERT         | NO           | NO             |
| postgres | service_role  | postgres      | public       | attendance_records  | SELECT         | NO           | YES            |
| postgres | service_role  | postgres      | public       | attendance_records  | UPDATE         | NO           | NO             |
| postgres | service_role  | postgres      | public       | attendance_records  | DELETE         | NO           | NO             |
| postgres | service_role  | postgres      | public       | attendance_records  | TRUNCATE       | NO           | NO             |
| postgres | service_role  | postgres      | public       | attendance_records  | REFERENCES     | NO           | NO             |
| postgres | service_role  | postgres      | public       | attendance_records  | TRIGGER        | NO           | NO             |
| postgres | postgres      | postgres      | public       | role_transfers      | INSERT         | YES          | NO             |
| postgres | postgres      | postgres      | public       | role_transfers      | SELECT         | YES          | YES            |
| postgres | postgres      | postgres      | public       | role_transfers      | UPDATE         | YES          | NO             |
| postgres | postgres      | postgres      | public       | role_transfers      | DELETE         | YES          | NO             |
| postgres | postgres      | postgres      | public       | role_transfers      | TRUNCATE       | YES          | NO             |
| postgres | postgres      | postgres      | public       | role_transfers      | REFERENCES     | YES          | NO             |
| postgres | postgres      | postgres      | public       | role_transfers      | TRIGGER        | YES          | NO             |
| postgres | anon          | postgres      | public       | role_transfers      | INSERT         | NO           | NO             |
| postgres | anon          | postgres      | public       | role_transfers      | SELECT         | NO           | YES            |
| postgres | anon          | postgres      | public       | role_transfers      | UPDATE         | NO           | NO             |
| postgres | anon          | postgres      | public       | role_transfers      | DELETE         | NO           | NO             |
| postgres | anon          | postgres      | public       | role_transfers      | TRUNCATE       | NO           | NO             |
| postgres | anon          | postgres      | public       | role_transfers      | REFERENCES     | NO           | NO             |
| postgres | anon          | postgres      | public       | role_transfers      | TRIGGER        | NO           | NO             |
| postgres | authenticated | postgres      | public       | role_transfers      | INSERT         | NO           | NO             |
| postgres | authenticated | postgres      | public       | role_transfers      | SELECT         | NO           | YES            |
| postgres | authenticated | postgres      | public       | role_transfers      | UPDATE         | NO           | NO             |
| postgres | authenticated | postgres      | public       | role_transfers      | DELETE         | NO           | NO             |
| postgres | authenticated | postgres      | public       | role_transfers      | TRUNCATE       | NO           | NO             |
